Tanggal,Guguran,Low Frequency,Hybrid(Fase banyak),Vulkanik Dangkal,Tektonik ,Hembusan,Awan Panas Guguran,STATUS
01/06/2021,103,2,31,2,2,13,0,SIAGA
31/05/2021,101,0,15,1,1,8,0,SIAGA
29/05/2021,147,0,34,8,0,30,2,SIAGA
28/05/2021,122,0,48,8,0,9,2,SIAGA
25/05/2021,159,0,6,0,2,8,4,SIAGA
24/05/2021,142,0,7,1,1,8,0,SIAGA
23/05/2021,123,0,74,10,1,6,1,SIAGA
22/05/2021,161,0,74,9,3,2,1,SIAGA
19/05/2021,125,0,12,1,0,3,0,SIAGA
18/05/2021,151,0,5,0,0,3,1,SIAGA
17/05/2021,147,0,2,0,0,11,0,SIAGA
16/05/2021,119,0,5,0,0,13,2,SIAGA
14/05/2021,157,0,50,4,2,2,2,SIAGA
12/05/2021,148,0,4,0,3,14,0,SIAGA
10/05/2021,165,0,10,0,1,3,0,SIAGA
09/05/2021,152,0,7,2,0,4,1,SIAGA
07/05/2021,134,1,89,11,0,4,1,SIAGA
06/05/2021,160,0,68,21,0,5,2,SIAGA
05/05/2021,163,0,6,0,2,4,1,SIAGA
04/05/2021,145,1,21,3,1,8,1,SIAGA
03/05/2021,144,0,14,1,0,7,3,SIAGA
26/04/2021,108,0,19,5,2,6,1,SIAGA
25/04/2021,105,0,11,0,0,0,2,SIAGA
24/04/2021,194,0,1,0,1,0,4,SIAGA
21/04/2021,123,0,9,0,0,2,1,SIAGA
30/10/2020,30,0,159,25,0,18,0,WASPADA
29/10/2020,27,3,187,20,2,26,0,WASPADA
21/08/2020,3,0,12,1,4,0,0,WASPADA
20/08/2020,6,0,10,1,0,2,0,WASPADA
14/08/2020,2,0,8,0,2,1,0,WASPADA
13/08/2020,2,0,9,1,0,2,0,WASPADA
11/08/2020,7,0,13,3,3,0,0,WASPADA
10/08/2020,6,0,15,1,2,1,0,WASPADA
09/08/2020,9,1,14,1,3,2,0,WASPADA
08/08/2020,5,0,8,0,0,1,0,WASPADA
07/08/2020,4,1,6,1,2,2,0,WASPADA
30/07/2020,12,0,5,0,1,0,0,WASPADA
29/07/2020,5,1,6,0,3,2,0,WASPADA
19/07/2020,5,0,2,1,1,3,0,WASPADA
18/07/2020,6,0,14,6,3,1,0,WASPADA
17/07/2020,8,3,4,1,4,2,0,WASPADA
16/07/2020,4,0,10,0,2,0,0,WASPADA
15/07/2020,2,0,5,3,4,4,0,WASPADA
14/07/2020,1,1,5,3,4,0,0,WASPADA
12/07/2020,3,1,12,1,1,2,0,WASPADA
11/07/2020,1,0,1,1,2,4,0,WASPADA
10/07/2020,2,1,6,2,4,1,0,WASPADA
09/07/2020,2,1,5,3,2,3,0,WASPADA
08/07/2020,0,1,6,1,1,0,0,WASPADA
07/07/2020,2,0,7,1,7,2,0,WASPADA
18/05/2006,264,0,64,1,1,0,23,AWAS
19/05/2006,256,0,56,0,1,0,13,AWAS
21/05/2006,248,0,117,0,0,0,44,AWAS
22/05/2006,309,0,56,0,0,0,25,AWAS
23/05/2006,316,0,86,0,0,0,46,AWAS
24/05/2006,312,0,60,0,0,0,42,AWAS
25/05/2006,371,0,40,0,0,0,34,AWAS
27/05/2006,299,0,0,0,138,0,54,AWAS
28/05/2006,237,0,43,1,95,0,159,AWAS
29/05/2006,332,0,18,0,57,0,88,AWAS
30/05/2006,337,0,19,0,40,0,56,AWAS
31/05/2006,276,0,36,0,24,0,127,AWAS
01/06/2006,315,0,35,2,13,0,144,AWAS
02/06/2006,388,0,25,0,24,0,163,AWAS
03/06/2006,488,0,79,0,16,0,107,AWAS
04/06/2006,397,0,54,0,25,0,118,AWAS
05/06/2006,300,0,9,0,17,0,157,AWAS
06/06/2006,212,0,10,0,14,0,78,AWAS
07/06/2006,256,0,12,0,8,0,66,AWAS
08/06/2006,280,0,43,0,14,0,83,AWAS
09/06/2006,216,0,100,5,9,0,78,AWAS
10/06/2006,377,0,37,0,4,0,34,AWAS
11/06/2006,299,0,20,0,10,0,20,AWAS
12/06/2006,364,0,31,0,8,0,22,AWAS
13/06/2006,293,0,88,0,5,0,28,AWAS
14/06/2006,371,0,89,0,2,0,61,AWAS
15/06/2006,260,0,100,0,6,0,27,AWAS
16/06/2006,304,0,176,2,5,0,38,AWAS
17/06/2006,424,0,40,0,2,0,32,AWAS
18/06/2006,260,0,51,0,1,0,33,AWAS
19/06/2006,272,0,88,0,7,0,21,AWAS
20/06/2006,312,0,136,0,4,0,38,AWAS
21/06/2006,256,0,65,0,4,0,15,AWAS
22/06/2006,319,0,39,0,3,0,12,AWAS
24/06/2006,339,0,48,0,6,0,21,AWAS
25/06/2006,321,0,32,0,17,0,18,AWAS
26/06/2006,372,0,27,0,6,0,18,AWAS
27/06/2006,399,0,8,0,11,0,23,AWAS
28/06/2006,308,0,16,0,7,0,16,AWAS
29/06/2006,290,0,11,0,12,0,15,AWAS
01/07/2006,250,0,4,0,4,0,13,AWAS
03/07/2006,248,0,2,0,9,0,1,AWAS
04/07/2006,266,0,4,0,5,0,0,AWAS
05/07/2006,249,0,1,0,6,0,5,AWAS
06/07/2006,278,0,5,0,9,0,6,AWAS
07/07/2006,252,0,1,0,3,0,2,AWAS
08/07/2006,269,0,12,0,2,0,0,AWAS
09/07/2006,239,0,5,0,4,0,4,AWAS
